Activity Type,Date,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Steps,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,04/01/2025 05:37,Tangerang - LR,25.01,"1,523",02:05:31,155,173,5,178,189,05:01,04:50,26,24,1.11,7.9,8.8,240,05:01,--,0,--,--,"22,356",--,No,00:02.8,26,--,--,--,--,02:05:27,02:05:31,31,39
Running,02/01/2025 06:14,Tangerang - H3,10.88,651,00:56:41,148,176,3.7,167,190,05:13,03:41,13,14,1.11,7.9,8.5,248,05:13,--,0,--,--,"9,666",--,No,00:02.5,15,--,--,--,--,00:56:35,00:56:41,33,41
Running,31/12/2024 05:35,Tangerang - H2,18.01,"1,033",01:22:25,156,174,5,180,188,04:35,04:12,19,20,1.21,7.5,9.1,231,04:35,--,0,--,--,"14,734",--,No,00:02.2,19,--,--,--,--,01:22:21,01:22:25,31,39
Running,30/12/2024 05:48,Tangerang - H1,17.01,"1,014",01:36:03,141,150,3.5,180,200,05:39,05:06,17,15,0.98,8.4,8.2,248,05:39,--,0,--,--,"17,202",--,No,00:02.4,18,--,--,--,--,01:35:59,01:36:03,32,40
Running,28/12/2024 05:30,Tangerang - LR,24.01,"1,454",02:00:10,155,170,4.9,180,192,05:00,03:58,24,34,1.11,7.9,8.7,239,05:01,--,0,--,--,"21,512",--,No,00:02.9,25,--,--,--,--,02:00:04,02:00:10,31,43
Running,26/12/2024 05:43,Tangerang - H3,10.83,646,00:56:50,145,173,3.5,167,190,05:15,03:37,9,10,1.11,7.8,8.5,239,05:15,--,0,--,--,"9,692",--,No,00:02.7,15,--,--,--,--,00:56:44,00:56:50,32,39
Running,24/12/2024 05:53,Tangerang - H2,17.01,"1,012",01:18:52,161,175,5,177,192,04:38,03:27,22,21,1.21,7.7,9.3,235,04:39,--,0,--,--,"13,916",--,No,00:02.2,18,--,--,--,--,01:18:47,01:19:37,35,47
Running,23/12/2024 05:28,Tangerang - H1,16.01,966,01:30:04,142,150,3.5,179,188,05:38,05:12,13,12,0.99,8.4,8.3,249,05:38,--,0,--,--,"16,052",--,No,00:02.5,17,--,--,--,--,01:30:01,01:30:04,33,39
Running,21/12/2024 05:28,Tangerang - LR,23.01,"1,403",01:56:29,155,167,4.8,180,190,05:04,04:48,15,15,1.09,7.9,8.6,240,05:04,--,0,--,--,"20,860",--,No,00:02.4,24,--,--,--,--,01:56:26,01:56:29,34,39
Running,19/12/2024 05:57,Tangerang - H3,10.83,655,00:56:37,149,177,3.7,164,190,05:14,03:31,16,13,1.13,8,8.9,251,05:14,--,0,--,--,"9,452",--,No,00:02.1,15,--,--,--,--,00:56:30,00:56:37,31,37
Running,17/12/2024 05:43,Tangerang Running,17.01,926,01:17:49,147,170,4.1,178,194,04:34,04:09,18,11,1.22,7.6,9.3,233,04:35,--,0,--,--,"13,796",--,No,00:01.9,18,--,--,--,--,01:17:47,01:21:22,30,40
Running,16/12/2024 05:40,Tangerang Running,15.01,892,01:24:27,139,149,3.4,180,190,05:38,05:24,14,13,0.99,8.4,8.3,249,05:38,--,0,--,--,"15,084",--,No,00:02.1,16,--,--,--,--,01:24:24,01:24:27,33,39
Running,14/12/2024 05:07,Tangerang Running,22.01,"1,341",01:50:54,156,170,4.9,180,190,05:02,04:36,31,32,1.1,7.9,8.7,239,05:03,--,0,--,--,"19,866",--,No,00:02.9,23,--,--,--,--,01:50:49,01:50:54,34,46
Running,12/12/2024 05:48,Tangerang - H3,11.04,680,01:00:57,148,170,3.5,169,185,05:31,03:43,19,17,1.05,8.3,8.6,249,05:32,--,0,--,--,"10,392",--,No,00:02.4,15,--,--,--,--,01:00:51,01:00:57,32,40
Running,10/12/2024 05:42,Tangerang Running,16.01,934,01:13:15,159,170,5,181,192,04:35,04:18,19,18,1.21,7.5,9,230,04:35,--,0,--,--,"13,136",--,No,00:02.0,17,--,--,--,--,01:13:11,01:13:15,32,41
Running,09/12/2024 05:38,Tangerang Running,14.01,853,01:18:50,142,151,3.4,180,189,05:38,05:19,13,16,0.98,8.3,8.2,248,05:38,--,0,--,--,"14,144",--,No,00:02.1,15,--,--,--,--,01:18:46,01:18:50,34,41
Running,07/12/2024 05:18,Tangerang Running,21.01,"1,257",01:45:55,152,163,4.6,178,188,05:02,04:47,20,20,1.11,8,8.9,241,05:03,--,0,--,--,"18,774",--,No,00:02.9,22,--,--,--,--,01:45:50,01:46:06,34,45
Running,05/12/2024 05:53,Tangerang - H3,11.01,654,01:01:09,140,163,3.3,171,188,05:33,03:44,14,14,1.03,8.3,8.4,248,05:34,--,0,--,--,"10,504",--,No,00:02.7,15,--,--,--,--,01:01:02,01:01:09,31,38
Running,03/12/2024 06:01,Tangerang Running,15.01,833,01:08:40,152,168,4.3,180,190,04:34,04:24,12,30,1.21,7.5,9,230,04:35,--,0,--,--,"12,314",--,No,00:02.6,16,--,--,--,--,01:08:35,01:08:40,34,38
Running,02/12/2024 05:48,Tangerang Running,13.01,775,01:12:54,141,149,3.3,183,199,05:36,05:17,12,14,0.97,8.2,8,245,05:37,--,0,--,--,"13,196",--,No,00:02.6,14,--,--,--,--,01:12:48,01:12:54,31,42
Running,30/11/2024 05:18,Tangerang Running,20.01,"1,215",01:41:50,154,169,4.7,176,187,05:05,04:41,15,17,1.11,8.1,9,245,05:06,--,0,--,--,"17,846",--,No,00:02.9,21,--,--,--,--,01:41:45,01:42:12,34,43
Running,28/11/2024 05:55,Tangerang - H3,11.02,638,01:01:01,138,174,3.2,170,214,05:32,03:50,13,13,1.04,8.3,8.5,250,05:33,--,0,--,--,"10,508",--,No,00:01.9,15,--,--,--,--,01:00:57,01:01:01,34,39
Running,26/11/2024 05:57,Tangerang Running,14.01,815,01:04:26,160,172,4.9,179,186,04:36,04:28,13,14,1.21,7.6,9.1,232,04:36,--,0,--,--,"11,484",--,No,00:02.6,15,--,--,--,--,01:04:24,01:04:26,31,37
Running,25/11/2024 05:46,Tangerang Running,12.01,729,01:07:37,143,162,3.3,179,186,05:38,05:29,12,13,0.98,8.4,8.2,248,05:38,--,0,--,--,"12,088",--,No,00:02.3,13,--,--,--,--,01:07:34,01:07:37,26,34
Running,23/11/2024 05:08,Tangerang Running,20.01,"1,183",01:41:55,151,161,4.4,178,190,05:06,04:43,15,18,1.1,8,8.8,243,05:06,--,0,--,--,"18,014",--,No,00:01.8,21,--,--,--,--,01:41:48,01:42:09,34,42
Running,21/11/2024 05:59,Tangerang - H3,11.03,655,01:01:18,143,177,3.3,170,186,05:33,03:34,15,15,1.03,8.3,8.4,249,05:34,--,0,--,--,"10,556",--,No,00:02.4,15,--,--,--,--,01:01:15,01:01:18,34,39
Running,19/11/2024 06:07,Tangerang Running,13.01,767,01:00:00,163,173,4.8,179,186,04:37,04:25,13,14,1.2,7.5,9.1,232,04:37,--,0,--,--,"10,708",--,No,00:03.0,14,--,--,--,--,00:59:57,01:00:00,34,40
Running,18/11/2024 05:53,Tangerang Running,11.01,668,01:02:29,141,152,3.2,180,188,05:40,05:17,6,8,0.97,8.4,8.1,248,05:41,--,0,--,--,"11,232",--,No,00:02.9,12,--,--,--,--,01:02:25,01:02:29,34,39
Running,16/11/2024 05:30,Tangerang Running,19.01,"1,180",01:35:51,161,179,5,182,191,05:02,04:15,16,17,1.08,7.8,8.5,237,05:03,--,0,--,--,"17,340",--,No,00:03.0,20,--,--,--,--,01:35:46,01:35:51,29,35
Running,14/11/2024 05:58,Tangerang - H3,11.02,650,01:01:35,140,173,3.3,171,188,05:35,03:44,14,15,1.02,8.3,8.3,252,05:36,--,0,--,--,"10,674",--,No,00:02.7,15,--,--,--,--,01:01:33,01:01:35,34,42
Running,12/11/2024 06:08,Tangerang Running,12.01,674,00:55:03,155,174,4.3,178,196,04:35,04:28,17,15,1.22,7.6,9.2,233,04:36,--,0,--,--,"9,766",--,No,00:02.7,13,--,--,--,--,00:54:57,00:55:03,32,40
Running,11/11/2024 05:50,Tangerang Running,10.01,594,00:56:11,142,153,3.1,180,188,05:37,05:20,12,10,0.98,8.3,8.2,247,05:38,--,0,--,--,"10,060",--,No,00:02.7,11,--,--,--,--,00:56:06,00:56:11,32,39
Running,10/11/2024 05:39,Tangerang Running,18.01,"1,060",01:30:58,151,168,4.4,181,189,05:03,04:33,10,11,1.09,7.8,8.5,238,05:03,--,0,--,--,"16,394",--,No,00:03.0,19,--,--,--,--,01:30:51,01:30:58,26,33
Running,08/11/2024 05:57,Tangerang - H3,11,650,01:03:05,141,177,3.3,170,190,05:44,03:38,14,13,1,8.5,8.3,261,05:46,--,0,--,--,"10,840",--,No,00:02.3,15,--,--,--,--,01:03:02,01:03:05,32,38
Running,06/11/2024 05:53,Tangerang Running,11.01,665,00:51:06,169,177,4.7,179,186,04:38,04:12,6,10,1.2,7.6,9.1,233,04:39,--,0,--,--,"9,118",--,No,00:02.5,12,--,--,--,--,00:51:02,00:51:06,32,39
Running,04/11/2024 05:51,Tangerang Running,9.01,544,00:50:53,142,148,3.1,179,188,05:39,04:55,4,6,0.98,8.4,8.2,249,05:40,--,0,--,--,"9,076",--,No,00:03.0,10,--,--,--,--,00:50:49,00:50:53,31,38
Running,03/11/2024 05:31,Tangerang Running,20.85,"1,265",01:36:01,170,181,5,179,192,04:36,04:11,27,29,1.21,7.5,9.1,232,04:36,--,0,--,--,"17,182",--,No,03:41.2,21,--,--,--,--,01:35:55,01:36:01,32,43
Running,01/11/2024 05:54,Tangerang - H3,11.49,654,01:08:04,134,157,3,176,188,05:56,03:53,11,12,0.95,8.9,8.2,255,05:57,--,0,--,--,"11,934",--,No,00:02.3,15,--,--,--,--,01:08:00,01:08:04,32,39
Running,30/10/2024 05:58,Tangerang Running,10.01,602,00:47:00,165,176,4.4,177,184,04:42,04:27,6,8,1.2,7.7,9.2,236,04:42,--,0,--,--,"8,306",--,No,00:03.0,11,--,--,--,--,00:46:57,00:47:00,34,39
Running,28/10/2024 05:54,Tangerang - H1,8.01,477,00:45:45,138,145,3,177,184,05:43,05:19,6,8,0.98,8.5,8.3,251,05:44,--,0,--,--,"8,112",--,No,00:02.9,9,--,--,--,--,00:45:42,00:45:45,33,39
Running,27/10/2024 05:46,Tangerang - Run Workout,7.71,459,00:40:41,151,190,3.8,176,186,05:16,03:53,6,10,1.08,8.4,8.7,246,05:17,--,0,--,--,"7,140",--,No,01:07.6,9,--,--,--,--,00:40:38,00:40:41,33,40
Running,26/10/2024 05:35,Tangerang Running,18.01,"1,060",01:36:18,145,170,4,179,194,05:21,04:14,11,14,1.03,8.1,8.4,244,05:22,--,0,--,--,"17,230",--,No,00:02.0,19,--,--,--,--,01:36:11,01:37:40,28,34
Running,24/10/2024 05:54,Tangerang Running,10.01,610,00:55:27,147,177,3.6,174,184,05:32,04:07,3,9,1.02,8.5,8.6,250,05:33,--,0,--,--,"9,732",--,No,00:02.9,11,--,--,--,--,00:55:24,00:55:27,36,42
Running,22/10/2024 06:13,Tangerang Running,7.23,435,00:47:59,125,138,2.4,174,183,06:38,05:41,5,8,0.85,9.2,7.9,263,06:40,--,0,--,--,"8,398",--,No,01:25.1,8,--,--,--,--,00:47:53,00:48:23,35,41
Running,21/10/2024 05:46,Tangerang - Run Workout,11.15,622,00:59:11,145,169,3.6,177,186,05:19,03:50,10,12,1.06,8.4,8.6,246,05:19,--,0,--,--,"10,438",--,No,00:02.5,13,--,--,--,--,00:59:07,00:59:11,33,41
Running,20/10/2024 05:03,Tangerang Running,16.01,944,01:26:50,145,153,3.9,179,197,05:25,04:31,4,6,1.02,8.2,8.4,245,05:26,--,0,--,--,"15,502",--,No,00:02.8,17,--,--,--,--,01:26:43,01:28:22,37,43
Running,17/10/2024 05:51,Tangerang Running,8.01,476,00:43:02,144,170,3.5,178,186,05:22,04:16,8,21,1.04,8.2,8.5,245,05:23,--,0,--,--,"7,658",--,No,00:03.0,9,--,--,--,--,00:42:59,00:43:02,33,40
Running,15/10/2024 06:17,Tangerang Running,7.23,441,00:49:23,132,144,2.4,175,182,06:50,04:53,12,11,0.83,9.4,7.7,265,06:51,--,0,--,--,"8,666",--,No,01:29.6,8,--,--,--,--,00:49:19,00:49:46,32,40
Running,14/10/2024 05:54,Tangerang - Run Workout,11.01,662,00:58:49,148,163,3.8,178,184,05:21,04:36,8,9,1.04,8.2,8.5,245,05:21,--,0,--,--,"10,478",--,No,00:02.5,12,--,--,--,--,00:58:46,00:58:49,34,39
Running,12/10/2024 05:37,Tangerang Running,15.01,904,01:23:34,145,169,3.8,174,188,05:34,03:51,12,14,1.02,8.5,8.8,253,05:36,--,0,--,--,"14,532",--,No,00:02.9,16,--,--,--,--,01:23:28,01:26:09,32,42
Running,11/10/2024 05:59,Tangerang Running,10.01,584,00:54:58,142,163,3.6,176,183,05:29,04:10,8,11,1.03,8.4,8.7,250,05:30,--,0,--,--,"9,652",--,No,00:03.5,11,--,--,--,--,00:54:53,00:54:58,33,38
Running,08/10/2024 06:10,Tangerang Running,7.2,425,00:35:50,153,173,3.7,181,207,04:59,03:04,6,10,1.1,7.8,8.5,237,05:01,--,0,--,--,"6,460",--,No,00:40.5,8,--,--,--,--,00:35:47,00:36:12,33,40
Running,07/10/2024 06:11,Tangerang - Run Workout,10.01,599,00:57:07,144,164,3.5,175,183,05:42,04:39,6,6,1,8.6,8.6,254,05:43,--,0,--,--,"9,978",--,No,00:02.9,11,--,--,--,--,00:57:04,00:57:07,35,39
Running,05/10/2024 05:51,Tangerang Running,14.01,821,01:15:48,146,154,3.7,178,188,05:25,04:38,7,8,1.03,8.2,8.4,246,05:25,--,0,--,--,"13,534",--,No,00:03.4,15,--,--,--,--,01:15:44,01:17:05,34,39
Running,03/10/2024 06:08,Tangerang - Run Workout,8.01,476,00:42:24,149,173,3.6,176,184,05:18,04:16,4,6,1.07,8.2,8.8,247,05:18,--,0,--,--,"7,464",--,No,00:03.1,9,--,--,--,--,00:42:21,00:42:24,34,38
Running,30/09/2024 06:04,Tangerang - Run Workout,8.25,465,00:45:26,138,168,3.2,176,190,05:30,03:33,4,5,1.03,8.5,8.5,249,05:29,--,0,--,--,"7,976",--,No,00:00.7,22,--,--,--,--,00:45:21,00:45:26,35,39
Running,28/09/2024 05:39,Tangerang Running,12.01,754,01:07:16,153,173,3.7,178,184,05:36,04:30,8,8,1,8.4,8.4,249,05:37,--,0,--,--,"11,946",--,No,00:03.3,13,--,--,--,--,01:07:13,01:07:16,34,38
Running,24/09/2024 06:15,Tangerang Running,10.01,648,01:04:12,148,156,3.1,177,184,06:25,05:18,12,13,0.88,9,7.9,259,06:25,--,0,--,--,"11,356",--,No,00:02.4,11,--,--,--,--,01:04:04,01:04:30,33,40
Running,15/09/2024 06:06,Sydney Running,42.77,"2,691",03:49:13,161,186,5,182,198,05:22,03:16,375,505,1.02,8,8.2,241,05:21,--,0,--,--,"41,418",--,No,03:52.9,43,--,--,--,--,03:47:50,03:49:13,-17,121
Running,11/09/2024 06:13,Tangerang - W14-D4,8.01,499,00:45:04,150,178,3.4,181,190,05:38,04:15,6,5,0.97,8.3,8,246,05:37,--,0,--,--,"8,134",--,No,00:02.6,9,--,--,--,--,00:45:02,00:45:10,35,39
Running,10/09/2024 06:09,Tangerang Running,7.25,472,00:48:14,142,151,2.6,177,186,06:39,06:12,8,11,0.84,9.2,7.7,261,06:40,--,0,--,--,"8,534",--,No,01:41.1,8,--,--,--,--,00:48:12,00:48:14,33,39
Running,09/09/2024 05:53,Tangerang - W14-D2,9.55,562,00:52:31,150,170,3.4,179,189,05:30,03:57,5,5,1.01,8.4,8.3,247,05:31,--,0,--,--,"9,348",--,No,00:02.7,11,--,--,--,--,00:52:28,00:52:31,33,37
Running,07/09/2024 05:43,Tangerang - W14-D1,16.01,974,01:25:16,151,172,3.9,181,200,05:19,04:29,14,14,1.03,8.1,8.3,242,05:21,--,0,--,--,"15,370",--,No,00:02.5,17,--,--,--,--,01:25:09,01:27:03,33,41
Running,05/09/2024 05:56,Tangerang - W13-D4,11,681,00:58:05,155,178,4,180,188,05:17,04:13,6,8,1.05,8.1,8.4,242,05:17,--,0,--,--,"10,432",--,No,00:01.0,12,--,--,--,--,00:58:02,00:58:05,34,38
Running,02/09/2024 06:01,Tangerang - W13-D2,11.51,692,01:01:20,157,186,4.1,178,188,05:20,04:02,6,7,1.05,8.3,8.5,245,05:20,--,0,--,--,"10,872",--,No,00:02.9,13,--,--,--,--,01:01:13,01:01:20,34,38
Running,31/08/2024 05:37,Tangerang - W13-D1,24.01,"1,428",02:07:39,148,172,4.3,179,194,05:19,04:10,29,30,1.04,8.1,8.5,244,05:20,--,0,--,--,"22,822",--,No,00:02.3,25,--,--,--,--,02:07:29,02:08:50,34,40
Running,29/08/2024 05:52,Tangerang - W12-D4,12.01,710,01:04:08,144,170,3.7,177,186,05:20,04:01,11,8,1.05,8.3,8.6,246,05:20,--,0,--,--,"11,354",--,No,00:02.9,13,--,--,--,--,01:04:06,01:04:08,35,39
Running,27/08/2024 06:08,Tangerang Running,7.2,428,00:46:32,124,130,2.3,181,192,06:28,05:54,12,10,0.85,8.9,7.6,256,06:28,--,0,--,--,"8,364",--,No,01:21.2,8,--,--,--,--,00:46:30,00:46:32,35,40
Running,26/08/2024 05:51,Tangerang Running,13.51,743,01:09:18,146,163,3.7,176,186,05:08,03:58,11,11,1.1,8.2,8.8,244,05:08,--,0,--,--,"12,190",--,No,00:00.8,17,--,--,--,--,01:09:15,01:09:18,33,39
Running,24/08/2024 04:38,Tangerang - W12-D1,35.01,"2,022",03:07:37,148,172,4.9,177,192,05:22,03:45,28,20,1.04,8.2,8.6,246,05:22,--,0,--,--,"33,256",--,No,00:03.2,36,--,--,--,--,03:07:21,03:18:59,35,44
Running,21/08/2024 05:40,Tangerang - W11-D3,17.01,"1,011",01:31:41,148,173,4.1,180,187,05:23,04:07,13,11,1.02,8.2,8.3,244,05:24,--,0,--,--,"16,458",--,No,00:02.7,18,--,--,--,--,01:31:37,01:31:41,35,40
Running,20/08/2024 06:13,Tangerang Running,8.34,498,00:54:54,127,137,2.4,177,183,06:35,04:56,9,7,0.85,9.1,7.8,261,06:36,--,0,--,--,"9,708",--,No,02:08.6,9,--,--,--,--,00:54:54,00:54:59,35,41
Running,18/08/2024 06:00,Tangerang Running,10.07,618,00:41:23,183,192,5,179,192,04:07,03:50,10,9,1.35,7.1,9.6,221,04:07,--,0,--,--,"7,372",--,No,00:14.6,11,--,--,--,--,00:41:21,00:41:23,27,33
Running,16/08/2024 05:58,Tangerang - W10-D4,12.01,733,01:05:57,145,168,3.8,178,188,05:29,04:13,11,11,1.02,8.3,8.4,247,05:30,--,0,--,--,"11,716",--,No,00:02.6,13,--,--,--,--,01:05:52,01:06:08,35,44
Running,13/08/2024 06:10,Tangerang Running,8.36,502,00:56:19,124,132,2.4,176,184,06:44,05:49,8,7,0.83,9.2,7.7,262,06:45,--,0,--,--,"9,952",--,No,02:21.8,9,--,--,--,--,00:56:16,00:56:39,36,42
Running,12/08/2024 06:01,Tangerang - W10-D2,13.01,752,01:06:01,148,165,4,179,200,05:05,03:38,12,8,1.1,8,8.6,240,05:05,--,0,--,--,"11,784",--,No,00:02.9,14,--,--,--,--,01:05:58,01:06:09,36,40
Running,10/08/2024 04:59,Tangerang - W10-D1,30.01,"1,798",02:41:23,152,179,4.8,177,192,05:23,04:16,22,17,1.05,8.3,8.7,248,05:23,--,0,--,--,"28,426",--,No,00:03.4,31,--,--,--,--,02:41:12,02:53:28,36,43
Running,08/08/2024 06:07,Tangerang - W9-D4,12.01,736,01:04:35,149,173,3.8,180,191,05:23,03:53,4,4,1.02,8.1,8.3,244,05:23,--,0,--,--,"11,590",--,No,00:03.4,13,--,--,--,--,01:04:32,01:04:35,37,41
Running,07/08/2024 05:59,Tangerang Running,6.26,375,00:44:38,124,133,2.1,179,188,07:08,05:42,5,2,0.78,9.3,7.3,262,07:08,--,0,--,--,"7,988",--,No,01:53.4,7,--,--,--,--,00:44:36,00:45:12,30,33
Running,06/08/2024 05:56,Tangerang - W9-D2,16.01,972,01:21:46,159,184,5,176,188,05:06,03:36,12,17,1.11,8.1,8.9,244,05:07,--,0,--,--,"14,368",--,No,00:03.2,17,--,--,--,--,01:21:40,01:21:46,36,41
Running,04/08/2024 04:41,Tangerang - W9-D1,21.01,"1,272",01:53:59,150,173,4.3,176,187,05:26,04:53,10,13,1.04,8.3,8.7,249,05:26,--,0,--,--,"20,036",--,No,00:02.2,22,--,--,--,--,01:53:51,01:59:46,31,34
Running,01/08/2024 05:47,Tangerang - W8-D4,12.01,718,01:05:26,143,163,3.7,178,186,05:27,04:00,11,5,1.03,8.3,8.5,247,05:27,--,0,--,--,"11,604",--,No,00:02.1,13,--,--,--,--,01:05:23,01:05:36,29,35
Running,30/07/2024 06:10,Tangerang Running,8.38,500,00:55:27,126,133,2.4,178,185,06:37,05:46,10,9,0.84,9.1,7.7,260,06:37,--,0,--,--,"9,860",--,No,02:32.9,9,--,--,--,--,00:55:24,00:55:27,35,40
Running,29/07/2024 06:00,Tangerang - W8-D2,13.01,759,01:05:21,153,178,4.3,180,188,05:01,03:45,8,5,1.1,7.9,8.6,239,05:02,--,0,--,--,"11,698",--,No,00:02.8,14,--,--,--,--,01:05:17,01:05:21,36,40
Running,27/07/2024 05:34,Tangerang - W8-D1,28.01,"1,649",02:31:06,149,167,4.7,176,200,05:24,04:39,17,17,1.05,8.3,8.7,248,05:25,--,0,--,--,"26,598",--,No,00:02.5,29,--,--,--,--,02:30:53,02:33:50,30,35
Running,25/07/2024 05:52,Tangerang - W7-D4,12.01,728,01:05:15,149,175,3.9,180,188,05:26,04:10,10,6,1.02,8.2,8.3,245,05:26,--,0,--,--,"11,694",--,No,00:02.8,13,--,--,--,--,01:05:12,01:05:15,29,35
Running,23/07/2024 06:15,Tangerang Running,8.01,471,00:53:45,123,131,2.3,176,183,06:43,05:26,9,7,0.84,9.3,7.8,263,06:43,--,0,--,--,"9,454",--,No,00:02.4,9,--,--,--,--,00:53:43,00:53:45,36,44
